"Compound Name","Formula","Mass","RT","CAS ID",PosIon_Liver_SampleA_7Wk_Mutant1,PosIon_Liver_SampleB_7Wk_Mutant2,PosIon_Liver_SampleC_7Wk_Mutant3,PosIon_Liver_SampleD_7Wk_WildType1,PosIon_Liver_SampleE_7Wk_WildType2,PosIon_Liver_SampleF_7Wk_WildType3
TG 56:5,C59 H104 O6,908.7833,13.34,,2096503.75478442,467014.509287659,1302841.28356894,2745477.63940993,3127477.03121946,3180166.92185047
EtherPC 32:0e,C40 H82 N O7 P,719.5836,8.24,,4712201.81589373,2278970.49205538,1683513.5380406,402448.733841642,369787.931432218,542291.41095147
LPC 18:1,C26 H52 N O7 P,521.3489,2.03,,1399434.96395045,931767.38623774,598631.418892268,1167859.80924154,834462.00515752,1007145.72921259
PC 14:0_16:0,C38 H76 N O8 P,705.5329,5.90,,1299796.94518655,1094957.49503147,1095718.10767531,469346.888682955,422642.26384207,613604.842093611
PS 18:0_20:4,C44 H78 N O10 P,811.5347,6.30,,5581633.73692373,2501134.43827356,3627915.1706377,3979300.07629702,5979811.71998348,5013149.94951886
EtherPC 38:5e,C46 H84 N O7 P,793.6012,7.21,,4721001.15145674,1389637.51221032,1710988.40668602,1101422.70371438,1043560.29538415,1790038.39046973
TG 54:4,C57 H102 O6,882.7690,13.31,,21117895.2512073,5271293.69657807,12993714.6222249,23250874.2565291,36148488.3594133,29068815.0414055
PE 18:1_18:2,C41 H76 N O8 P,741.5325,6.80,,1501308.71025109,1043401.49278765,713998.290838034,2227172.31247988,2008690.19391032,3056454.81594217
PC 40:5,C48 H86 N O8 P,835.6096,8.41,,2433933.64866405,535740.705098733,1032704.71017713,1446073.91794906,1867850.85591723,2272529.59768003
PG 15:0_18:1(d7),C39 H68 D7 O10 P,741.5545,5.66,,1714150.64950731,1405188.54208111,1225317.89536468,1238267.34862682,1294931.16770533,1410530.30135486
PC 33:2,C41 H78 N O8 P,743.5475,5.84,,994946.081568393,727728.642928509,459376.071297869,902834.759662197,624909.234023803,1511185.25226928
PS 18:0_22:6,C46 H78 N O10 P,835.5369,6.06,,2126357.31256723,1065457.44458652,1317163.42008411,1885022.53566738,1199036.78735012,2838288.70447119
PC 35:2,C43 H82 N O8 P,771.5788,7.06,,1090792.54201738,759640.390457278,579242.600758841,1524969.36015377,1093177.59124519,2288994.12745267
PC 35:7,C43 H72 N O8 P,761.4986,6.42,,10778860.6311205,8652135.3479462,8316832.66527796,11217448.7188524,9873198.40768664,12119462.2035105
PC 36:4,C44 H80 N O8 P,781.5627,5.90,,961577.979685863,1061299.66155947,843174.134069709,762815.923303714,1198232.86847152,2087100.29066333
LPC 18:1(d7),C26 H45 D7 N O7 P,528.3928,1.85,,995279.05878209,1029198.52356424,615512.506305407,878559.354246033,567722.627417192,686543.824430426
TG 48:2,C51 H94 O6,802.7066,12.99,,2203902.16422783,2140345.6273835,2520066.8196927,3109122.47534866,2024695.20044694,2166241.08885204
PC 38:4,C46 H84 N O8 P,809.5940,7.23,,2450324.07566907,624185.9040313,1284847.47472476,,,
EtherPC 36:4e,C44 H82 N O7 P,767.5825,7.06,,3153083.54907433,879644.268833445,900649.126977689,476019.802120363,509163.805843514,39888.6450925605
TG 56:7,C59 H100 O6,904.7531,12.90,,4169454.87991463,761624.193053662,2199400.81200597,3961483.88874672,7362340.32589682,2805172.58102204
TG 16:0_16:0_16:0,C51 H98 O6,806.7374,13.69,,2129855.90491226,1661193.70131436,2092765.20544607,2088669.87321922,1796898.2678267,2313271.34255028
TG 56:8,C59 H98 O6,902.7364,12.67,,1570946.90906887,985784.043214959,790152.417178625,1503225.86109067,1898551.36528837,2958422.98088271
TG 58:10,C61 H98 O6,926.7364,12.56,,1323612.37861447,170451.125341904,467518.329176865,966555.5048696,1373254.03858583,2170974.41368978
TG 50:4,C53 H94 O6,826.7061,12.72,,740935.222655271,171595.883659278,533489.155034227,1554985.64880547,2387978.29123731,186766.1040564
LPC 0:0_20:4,C28 H50 N O7 P,543.3333,1.38,,1138071.03990661,488289.294301601,470533.352885872,526010.439984119,636909.540015914,1238311.88807413
